
Lin-More Trust-Region Method (Type B, Bound Constraints)
  iter  value          gnorm          snorm          delta          #fval     #grad     #hess     #proj     tr_flag   iterCG    flagCG    
  0     1.792855e+03   3.302197e+01   ---            1.500000e+01   1         1         0         2         ---       ---       ---       
  1     1.520554e+03   4.331755e+01   1.464430e+01   1.500000e+01   2         2         3         12        0         1         2         
  2     1.214795e+03   3.489505e+01   1.481103e+01   1.500000e+01   3         3         6         16        0         1         2         
  3     8.825391e+02   2.887998e+01   1.394100e+01   1.500000e+01   4         4         9         21        0         1         2         
  4     7.334811e+02   2.160319e+01   1.351719e+01   1.500000e+01   5         5         12        26        0         1         2         
  5     6.545236e+02   2.249333e+01   1.437312e+01   1.500000e+01   6         6         16        32        0         1         2         
  6     6.089248e+02   1.587285e+01   1.452305e+01   1.500000e+01   7         7         19        37        0         1         2         
  7     5.682355e+02   1.839046e+01   1.358367e+01   1.500000e+01   8         8         22        42        0         1         2         
  8     5.486096e+02   1.068871e+01   1.387252e+01   1.500000e+01   9         9         25        47        0         1         2         
  9     5.293548e+02   1.774063e+01   1.284047e+01   1.500000e+01   10        10        28        52        0         1         2         
  10    5.293548e+02   1.774063e+01   1.372594e+01   1.029445e+01   11        10        31        56        2         1         2         
  11    4.959367e+02   7.156761e+00   9.843563e+00   1.029445e+01   12        11        34        60        0         1         2         
  12    4.877332e+02   1.484849e+01   9.728866e+00   1.029445e+01   13        12        38        66        0         1         2         
  13    4.877332e+02   1.484849e+01   1.019853e+01   7.648900e+00   14        12        41        69        2         1         2         
  14    4.731681e+02   5.291313e+00   7.616097e+00   7.648900e+00   15        13        44        73        0         1         2         
  15    4.716504e+02   1.191696e+01   7.382484e+00   7.648900e+00   16        14        48        79        0         1         2         
  16    4.696536e+02   5.902663e+00   7.532536e+00   7.648900e+00   17        15        51        84        0         1         2         
  17    4.644494e+02   7.888532e+00   6.723587e+00   7.648900e+00   18        16        54        89        0         1         2         
  18    4.644494e+02   7.888532e+00   7.091106e+00   5.318329e+00   19        16        57        93        2         1         2         
  19    4.543678e+02   4.244797e+00   5.171951e+00   5.318329e+00   20        17        60        98        0         1         2         
  20    4.530806e+02   5.976507e+00   4.814133e+00   5.318329e+00   21        18        63        103       0         1         2         
  21    4.530806e+02   5.976507e+00   5.168204e+00   3.876153e+00   22        18        66        107       2         1         2         
  22    4.487972e+02   2.997049e+00   3.816213e+00   3.876153e+00   23        19        69        112       0         1         2         
  23    4.483925e+02   4.695873e+00   3.555233e+00   3.876153e+00   24        20        72        117       0         1         2         
  24    4.483925e+02   4.695873e+00   3.828724e+00   2.871543e+00   25        20        75        121       2         1         2         
  25    4.457077e+02   2.194117e+00   2.852581e+00   2.871543e+00   26        21        78        126       0         1         2         
  26    4.457077e+02   2.194117e+00   2.638000e+00   1.978500e+00   27        21        81        130       2         1         2         
  27    4.442273e+02   1.674517e+00   1.891133e+00   1.978500e+00   28        22        84        135       0         1         2         
  28    4.442273e+02   1.674517e+00   1.932808e+00   1.449606e+00   29        22        87        139       2         1         2         
  29    4.436219e+02   1.410435e+00   1.429267e+00   1.449606e+00   30        23        90        144       0         1         2         
  30    4.432710e+02   1.552992e+00   1.417200e+00   1.449606e+00   31        24        93        149       0         1         2         
  31    4.428743e+02   1.394232e+00   1.423340e+00   1.449606e+00   32        25        96        154       0         1         2         
  32    4.425312e+02   1.409098e+00   1.388308e+00   1.449606e+00   33        26        99        159       0         1         2         
  33    4.422768e+02   1.396555e+00   1.405385e+00   1.449606e+00   34        27        102       164       0         1         2         
  34    4.419654e+02   1.337993e+00   1.382653e+00   1.449606e+00   35        28        105       169       0         1         2         
  35    4.417639e+02   1.378247e+00   1.391013e+00   1.449606e+00   36        29        108       174       0         1         2         
  36    4.416440e+02   1.335732e+00   1.394284e+00   1.449606e+00   37        30        111       179       0         1         2         
  37    4.412944e+02   1.313691e+00   1.375450e+00   1.449606e+00   38        31        114       184       0         1         2         
  38    4.412529e+02   1.312596e+00   1.380754e+00   1.449606e+00   39        32        117       189       0         1         2         
  39    4.409442e+02   1.277280e+00   1.374332e+00   1.449606e+00   40        33        120       194       0         1         2         
  40    4.408561e+02   1.276322e+00   1.367609e+00   1.449606e+00   41        34        123       199       0         1         2         
  41    4.405743e+02   1.261714e+00   1.374051e+00   1.449606e+00   42        35        126       204       0         1         2         
  42    4.405024e+02   1.241951e+00   1.357022e+00   1.449606e+00   43        36        129       209       0         1         2         
  43    4.402256e+02   1.266830e+00   1.376503e+00   1.449606e+00   44        37        132       214       0         1         2         
  44    4.400742e+02   1.186180e+00   1.345223e+00   1.449606e+00   45        38        135       219       0         1         2         
  45    4.398445e+02   1.263488e+00   1.364093e+00   1.449606e+00   46        39        138       224       0         1         2         
  46    4.396892e+02   1.163458e+00   1.347730e+00   1.449606e+00   47        40        141       229       0         1         2         
  47    4.393141e+02   1.210730e+00   1.341766e+00   1.449606e+00   48        41        144       234       0         1         2         
  48    4.392526e+02   1.150810e+00   1.335887e+00   1.449606e+00   49        42        147       239       0         1         2         
  49    4.388653e+02   1.179764e+00   1.326923e+00   1.449606e+00   50        43        150       244       0         1         2         
  50    4.388653e+02   1.179764e+00   1.334185e+00   1.000639e+00   51        43        153       248       2         1         2         
Optimization Terminated with Status: Iteration Limit Exceeded
