ITERATION, MIN_VOLUME, OBJ_FUNC_DRESP:DRESP_VOLUME, OBJ_FUNC_TERM:DRESP_VOLUME, STRESS_CONSTRAINT:LE:DRESP_STRESS
Norm-Values:, 1.0403542e+5, 1.0403542e+5, 1.0403542e+5, 8.0000000e+2
0, 1.0403542e+5, 1.0403542e+5, 1.0403542e+5, 7.0960016e+2
1, 9.5388555e+4, 9.5388555e+4, 9.5388555e+4, 6.9729547e+2
2, 8.7279688e+4, 8.7279688e+4, 8.7279688e+4, 6.8789703e+2
3, 7.8650203e+4, 7.8650203e+4, 7.8650203e+4, 6.8623700e+2
4, 7.2135359e+4, 7.2135359e+4, 7.2135359e+4, 6.7526947e+2
5, 6.6349789e+4, 6.6349789e+4, 6.6349789e+4, 7.1289056e+2
6, 6.1393301e+4, 6.1393301e+4, 6.1393301e+4, 6.7449579e+2
7, 5.6505824e+4, 5.6505824e+4, 5.6505824e+4, 7.3732739e+2
8, 5.4595012e+4, 5.4595012e+4, 5.4595012e+4, 1.0888035e+3
9, 5.8854590e+4, 5.8854590e+4, 5.8854590e+4, 6.3982538e+2
10, 5.5213059e+4, 5.5213059e+4, 5.5213059e+4, 7.9058142e+2
11, 5.4741875e+4, 5.4741875e+4, 5.4741875e+4, 8.9204761e+2
12, 5.6259625e+4, 5.6259625e+4, 5.6259625e+4, 7.2638422e+2
13, 5.4844227e+4, 5.4844227e+4, 5.4844227e+4, 8.0527539e+2
14, 5.4832707e+4, 5.4832707e+4, 5.4832707e+4, 8.1474585e+2
