ITERATION, [OBJ_FUNC]MIN_VOLUME, [OBJ]OBJ_FUNC_DRESP:DRESP_VOLUME, [OBJ]OBJ_FUNC_TERM:DRESP_VOLUME, [CON]STRESS_CONSTRAINT:LE:DRESP_STRESS, [VAR]DRESP_VOLUME, [VAR]DRESP_STRESS, [VAR]AV_CONV_ALL_ELEMENTS, [VAR]AV_CHG_OBJF_ALL_ELEMENTS, [VAR]AV_CHG_DV_ALL_ELEMENTS, [VAR]AV_CONV_TRUE_ALL_ELEMENTS
Norm-Values:, 1.0403542e+5, 1.0403542e+5, 1.0403542e+5, 8.0000000e+2, 1.7684722e+5, 7.0960016e+2, 0.0000000, 1.0000000e-3, 4.9999999e-3, 9.9000001e-1
0, 1.0403542e+5, 1.0403542e+5, 1.0403542e+5, 7.0960016e+2, 1.0403542e+5, 7.0960016e+2, 0.0000000, 0.0000000, 0.0000000, 9.9000001e-1
1, 9.5388555e+4, 9.5388555e+4, 9.5388555e+4, 6.9729547e+2, 9.5388555e+4, 6.9729547e+2, 0.0000000, 1.3475895e-1, 5.7879113e-2, 9.9000001e-1
2, 8.7279688e+4, 8.7279688e+4, 8.7279688e+4, 6.8789703e+2, 8.7279688e+4, 6.8789703e+2, 0.0000000, 1.4464942e-1, 5.4635573e-2, 9.9000001e-1
3, 7.8650203e+4, 7.8650203e+4, 7.8650203e+4, 6.8623700e+2, 7.8650203e+4, 6.8623700e+2, 0.0000000, 1.8195023e-1, 5.9175353e-2, 9.9000001e-1
4, 7.2135359e+4, 7.2135359e+4, 7.2135359e+4, 6.7526947e+2, 7.2135359e+4, 6.7526947e+2, 0.0000000, 1.5924191e-1, 4.7357310e-2, 9.9000001e-1
5, 6.6349789e+4, 6.6349789e+4, 6.6349789e+4, 7.1289056e+2, 6.6349789e+4, 7.1289056e+2, 0.0000000, 1.6470735e-1, 4.3198779e-2, 9.9000001e-1
6, 6.1393301e+4, 6.1393301e+4, 6.1393301e+4, 6.7449579e+2, 6.1393301e+4, 6.7449579e+2, 0.0000000, 1.6425879e-1, 3.9535508e-2, 9.9000001e-1
7, 5.6505824e+4, 5.6505824e+4, 5.6505824e+4, 7.3732739e+2, 5.6505824e+4, 7.3732739e+2, 0.0000000, 1.9335872e-1, 3.7191771e-2, 9.9000001e-1
8, 5.4595012e+4, 5.4595012e+4, 5.4595012e+4, 1.0888035e+3, 5.4595012e+4, 1.0888035e+3, 0.0000000, 8.1774145e-2, 1.5791936e-2, 9.9000001e-1
9, 5.8854590e+4, 5.8854590e+4, 5.8854590e+4, 6.3982538e+2, 5.8854590e+4, 6.3982538e+2, 0.0000000, 1.5415949e-1, 2.8543305e-2, 9.9000001e-1
10, 5.5213059e+4, 5.5213059e+4, 5.5213059e+4, 7.9058142e+2, 5.5213059e+4, 7.9058142e+2, 0.0000000, 1.5179868e-1, 2.4653567e-2, 9.9000001e-1
11, 5.4741875e+4, 5.4741875e+4, 5.4741875e+4, 8.9204761e+2, 5.4741875e+4, 8.9204761e+2, 0.0000000, 2.0030901e-2, 6.4303665e-3, 9.9000001e-1
12, 5.6259625e+4, 5.6259625e+4, 5.6259625e+4, 7.2638422e+2, 5.6259625e+4, 7.2638422e+2, 0.0000000, 6.0620844e-2, 9.7616427e-3, 9.9000001e-1
13, 5.4844227e+4, 5.4844227e+4, 5.4844227e+4, 8.0527539e+2, 5.4844227e+4, 8.0527539e+2, 0.0000000, 5.9921436e-2, 9.7640827e-3, 9.9000001e-1
14, 5.4832707e+4, 5.4832707e+4, 5.4832707e+4, 8.1474585e+2, 5.4832707e+4, 8.1474585e+2, 1.0000000, 4.9520598e-4, 2.3413370e-3, 9.9000001e-1
