ITERATION, MIN_VOLUME, OBJ_FUNC_DRESP:DRESP_VOLUME, OBJ_FUNC_TERM:DRESP_VOLUME, STRESS_CONSTRAINT:LE:DRESP_STRESS
Norm-Values:, 1.0379638e+5, 1.0379638e+5, 1.0379638e+5, 8.0000000e+2
0, 1.0379638e+5, 1.0379638e+5, 1.0379638e+5, 1.3379354e+3
1, 1.0552155e+5, 1.0552155e+5, 1.0552155e+5, 8.1875177e+2
2, 1.0253667e+5, 1.0253667e+5, 1.0253667e+5, 7.0982202e+2
3, 9.9739344e+4, 9.9739344e+4, 9.9739344e+4, 7.7589581e+2
4, 9.6327500e+4, 9.6327500e+4, 9.6327500e+4, 7.3329926e+2
5, 9.1923625e+4, 9.1923625e+4, 9.1923625e+4, 7.4125525e+2
6, 8.6663547e+4, 8.6663547e+4, 8.6663547e+4, 7.1796472e+2
7, 8.0466609e+4, 8.0466609e+4, 8.0466609e+4, 6.9058960e+2
8, 7.3663625e+4, 7.3663625e+4, 7.3663625e+4, 6.9141968e+2
9, 6.7563438e+4, 6.7563438e+4, 6.7563438e+4, 7.9487970e+2
10, 6.4162238e+4, 6.4162238e+4, 6.4162238e+4, 7.2801996e+2
11, 6.0137293e+4, 6.0137293e+4, 6.0137293e+4, 7.9694421e+2
12, 5.7997707e+4, 5.7997707e+4, 5.7997707e+4, 6.3753094e+2
13, 5.3740859e+4, 5.3740859e+4, 5.3740859e+4, 9.6652673e+2
14, 5.4360262e+4, 5.4360262e+4, 5.4360262e+4, 9.5474695e+2
15, 5.7277133e+4, 5.7277133e+4, 5.7277133e+4, 6.7491937e+2
16, 5.4306664e+4, 5.4306664e+4, 5.4306664e+4, 8.4107263e+2
17, 5.4766012e+4, 5.4766012e+4, 5.4766012e+4, 6.6209601e+2
18, 5.3377918e+4, 5.3377918e+4, 5.3377918e+4, 1.0262650e+3
19, 5.6635473e+4, 5.6635473e+4, 5.6635473e+4, 7.2698370e+2
20, 5.4750883e+4, 5.4750883e+4, 5.4750883e+4, 9.7688226e+2
21, 5.6825211e+4, 5.6825211e+4, 5.6825211e+4, 6.6942914e+2
22, 5.5698430e+4, 5.5698430e+4, 5.5698430e+4, 8.2746826e+2
23, 5.6621602e+4, 5.6621602e+4, 5.6621602e+4, 6.3387683e+2
24, 5.6058977e+4, 5.6058977e+4, 5.6058977e+4, 7.2382513e+2
25, 5.5918090e+4, 5.5918090e+4, 5.5918090e+4, 7.0658881e+2
26, 5.5762813e+4, 5.5762813e+4, 5.5762813e+4, 7.3595575e+2
27, 5.5590527e+4, 5.5590527e+4, 5.5590527e+4, 7.6229602e+2
28, 5.5413770e+4, 5.5413770e+4, 5.5413770e+4, 7.7828046e+2
29, 5.5248324e+4, 5.5248324e+4, 5.5248324e+4, 7.8119354e+2
30, 5.5082508e+4, 5.5082508e+4, 5.5082508e+4, 9.4307666e+2
31, 5.5978707e+4, 5.5978707e+4, 5.5978707e+4, 6.9520624e+2
32, 5.5554172e+4, 5.5554172e+4, 5.5554172e+4, 7.3999579e+2
33, 5.5405141e+4, 5.5405141e+4, 5.5405141e+4, 7.4555994e+2
34, 5.5301730e+4, 5.5301730e+4, 5.5301730e+4, 7.4468744e+2
35, 5.5189305e+4, 5.5189305e+4, 5.5189305e+4, 7.4228998e+2
36, 5.5064230e+4, 5.5064230e+4, 5.5064230e+4, 7.4159619e+2
37, 5.4916375e+4, 5.4916375e+4, 5.4916375e+4, 7.4429352e+2
38, 5.4737781e+4, 5.4737781e+4, 5.4737781e+4, 7.9725177e+2
39, 5.4658484e+4, 5.4658484e+4, 5.4658484e+4, 7.6469781e+2
40, 5.4391938e+4, 5.4391938e+4, 5.4391938e+4, 8.0931311e+2
41, 5.4577980e+4, 5.4577980e+4, 5.4577980e+4, 7.7181604e+2
42, 5.4340844e+4, 5.4340844e+4, 5.4340844e+4, 7.8909222e+2
