ITERATION, [OBJ_FUNC]MIN_VOLUME, [OBJ]OBJ_FUNC_DRESP:DRESP_VOLUME, [OBJ]OBJ_FUNC_TERM:DRESP_VOLUME, [CON]STRESS_CONSTRAINT:LE:DRESP_STRESS, [VAR]DRESP_VOLUME, [VAR]DRESP_STRESS, [VAR]AV_CONV_ALL_ELEMENTS, [VAR]AV_CHG_OBJF_ALL_ELEMENTS, [VAR]AV_CHG_DV_ALL_ELEMENTS, [VAR]AV_CONV_TRUE_ALL_ELEMENTS
Norm-Values:, 1.0379638e+5, 1.0379638e+5, 1.0379638e+5, 8.0000000e+2, 1.7661209e+5, 1.3379354e+3, 0.0000000, 1.0000000e-3, 4.9999999e-3, 9.9000001e-1
0, 1.0379638e+5, 1.0379638e+5, 1.0379638e+5, 1.3379354e+3, 1.0379638e+5, 1.3379354e+3, 0.0000000, 0.0000000, 0.0000000, 9.9000001e-1
1, 1.0552155e+5, 1.0552155e+5, 1.0552155e+5, 8.1875177e+2, 1.0552155e+5, 8.1875177e+2, 0.0000000, 2.3135524e-2, 1.6586306e-2, 9.9000001e-1
2, 1.0253667e+5, 1.0253667e+5, 1.0253667e+5, 7.0982202e+2, 1.0253667e+5, 7.0982202e+2, 0.0000000, 4.1737974e-2, 1.6932279e-2, 9.9000001e-1
3, 9.9739344e+4, 9.9739344e+4, 9.9739344e+4, 7.7589581e+2, 9.9739344e+4, 7.7589581e+2, 0.0000000, 4.0651627e-2, 1.5586133e-2, 9.9000001e-1
4, 9.6327500e+4, 9.6327500e+4, 9.6327500e+4, 7.3329926e+2, 9.6327500e+4, 7.3329926e+2, 0.0000000, 5.2177604e-2, 1.9427873e-2, 9.9000001e-1
5, 9.1923625e+4, 9.1923625e+4, 9.1923625e+4, 7.4125525e+2, 9.1923625e+4, 7.4125525e+2, 0.0000000, 7.2354391e-2, 2.5256256e-2, 9.9000001e-1
6, 8.6663547e+4, 8.6663547e+4, 8.6663547e+4, 7.1796472e+2, 8.6663547e+4, 7.1796472e+2, 0.0000000, 9.4448403e-2, 3.1134868e-2, 9.9000001e-1
7, 8.0466609e+4, 8.0466609e+4, 8.0466609e+4, 6.9058960e+2, 8.0466609e+4, 6.9058960e+2, 0.0000000, 1.2518393e-1, 3.7641574e-2, 9.9000001e-1
8, 7.3663625e+4, 7.3663625e+4, 7.3663625e+4, 6.9141968e+2, 7.3663625e+4, 6.9141968e+2, 0.0000000, 1.5919331e-1, 4.2630199e-2, 9.9000001e-1
9, 6.7563438e+4, 6.7563438e+4, 6.7563438e+4, 7.9487970e+2, 6.7563438e+4, 7.9487970e+2, 0.0000000, 1.6688396e-1, 4.2072289e-2, 9.9000001e-1
