ITERATION, [OBJ_FUNC]MIN_VOL, [OBJ]OBJ_FUNC_DRESP:DRESP_VOL_TOPO, [OBJ]OBJ_FUNC_TERM:DRESP_VOL_TOPO, [CON]DISP_CONSTRAINT:LE:DRESP_DISP1_ABS_MAX, [VAR]DRESP_SUM_ENERGY, [VAR]DRESP_VOL_TOPO, [VAR]DRESP_DISP1_ABS_MAX, [VAR]AV_CONV_ALL_ELEMENTS, [VAR]AV_CHG_OBJF_ALL_ELEMENTS, [VAR]AV_CHG_DV_ALL_ELEMENTS, [VAR]AV_CONV_TRUE_ALL_ELEMENTS
Norm-Values:, 1.3425422e+3, 1.3425422e+3, 1.3425422e+3, 5.9999999e-2, 6.9008489, 2.5230000e+3, 1.7431773e-1, 0.0000000, 1.0000000e-3, 4.9999999e-3, 9.9000001e-1
0, 1.3425422e+3, 1.3425422e+3, 1.3425422e+3, 1.7431773e-1, 6.9008489, 1.3425422e+3, 1.7431773e-1, 0.0000000, 0.0000000, 0.0000000, 9.9000001e-1
1, 1.8724083e+3, 1.8724083e+3, 1.8724083e+3, 9.0535603e-2, 3.5764961, 1.8724083e+3, 9.0535603e-2, 0.0000000, 3.0980414e-1, 2.2443205e-1, 9.9000001e-1
2, 2.2760720e+3, 2.2760720e+3, 2.2760720e+3, 5.2411135e-2, 2.0649774, 2.2760720e+3, 5.2411135e-2, 0.0000000, 1.9094823e-1, 1.7138343e-1, 9.9000001e-1
3, 2.0426990e+3, 2.0426990e+3, 2.0426990e+3, 5.6873489e-2, 2.2414005, 2.0426990e+3, 5.6873489e-2, 0.0000000, 1.2408883e-1, 1.0485152e-1, 9.9000001e-1
4, 1.9434913e+3, 1.9434913e+3, 1.9434913e+3, 5.8849931e-2, 2.3198323, 1.9434913e+3, 5.8849931e-2, 0.0000000, 5.5686999e-2, 4.9058270e-2, 9.9000001e-1
5, 1.8986108e+3, 1.8986108e+3, 1.8986108e+3, 5.9702028e-2, 2.3540046, 1.8986108e+3, 5.9702028e-2, 0.0000000, 2.5845407e-2, 2.6877617e-2, 9.9000001e-1
6, 1.8774078e+3, 1.8774078e+3, 1.8774078e+3, 5.9823837e-2, 2.3592997, 1.8774078e+3, 5.9823837e-2, 0.0000000, 1.2360736e-2, 1.7819693e-2, 9.9000001e-1
7, 1.8618534e+3, 1.8618534e+3, 1.8618534e+3, 5.9861880e-2, 2.3612590, 1.8618534e+3, 5.9861880e-2, 0.0000000, 9.1479328e-3, 1.5270595e-2, 9.9000001e-1
8, 1.8498280e+3, 1.8498280e+3, 1.8498280e+3, 5.9881661e-2, 2.3624523, 1.8498280e+3, 5.9881661e-2, 0.0000000, 7.1260394e-3, 1.3511482e-2, 9.9000001e-1
9, 1.8396730e+3, 1.8396730e+3, 1.8396730e+3, 5.9884347e-2, 2.3629274, 1.8396730e+3, 5.9884347e-2, 0.0000000, 6.0520959e-3, 1.2594222e-2, 9.9000001e-1
10, 1.8301010e+3, 1.8301010e+3, 1.8301010e+3, 5.9869908e-2, 2.3627145, 1.8301010e+3, 5.9869908e-2, 0.0000000, 5.7396917e-3, 1.2456947e-2, 9.9000001e-1
11, 1.8205121e+3, 1.8205121e+3, 1.8205121e+3, 5.9843972e-2, 2.3620472, 1.8205121e+3, 5.9843972e-2, 0.0000000, 5.7805609e-3, 1.2701103e-2, 9.9000001e-1
12, 1.8099747e+3, 1.8099747e+3, 1.8099747e+3, 5.9781257e-2, 2.3599217, 1.8099747e+3, 5.9781257e-2, 0.0000000, 6.3924640e-3, 1.3346421e-2, 9.9000001e-1
13, 1.7972391e+3, 1.7972391e+3, 1.7972391e+3, 5.9734412e-2, 2.3584411, 1.7972391e+3, 5.9734412e-2, 0.0000000, 7.7901715e-3, 1.3819293e-2, 9.9000001e-1
14, 1.7867770e+3, 1.7867770e+3, 1.7867770e+3, 5.9755564e-2, 2.3596635, 1.7867770e+3, 5.9755564e-2, 0.0000000, 6.4401887e-3, 1.2247506e-2, 9.9000001e-1
15, 1.7778895e+3, 1.7778895e+3, 1.7778895e+3, 5.9777196e-2, 2.3607745, 1.7778895e+3, 5.9777196e-2, 0.0000000, 5.4982165e-3, 1.1763629e-2, 9.9000001e-1
