ITERATION, MIN_VOL, OBJ_FUNC_DRESP:DRESP_VOL_TOPO, OBJ_FUNC_TERM:DRESP_VOL_TOPO, DISP_CONSTRAINT:LE:DRESP_DISP1_ABS_MAX
Norm-Values:, 1.3425422e+3, 1.3425422e+3, 1.3425422e+3, 5.9999999e-2
0, 1.3425422e+3, 1.3425422e+3, 1.3425422e+3, 1.7431773e-1
1, 1.8724083e+3, 1.8724083e+3, 1.8724083e+3, 9.0535603e-2
2, 2.2760720e+3, 2.2760720e+3, 2.2760720e+3, 5.2411135e-2
3, 2.0426990e+3, 2.0426990e+3, 2.0426990e+3, 5.6873489e-2
4, 1.9434913e+3, 1.9434913e+3, 1.9434913e+3, 5.8849931e-2
5, 1.8986108e+3, 1.8986108e+3, 1.8986108e+3, 5.9702028e-2
6, 1.8774078e+3, 1.8774078e+3, 1.8774078e+3, 5.9823837e-2
7, 1.8618534e+3, 1.8618534e+3, 1.8618534e+3, 5.9861880e-2
8, 1.8498280e+3, 1.8498280e+3, 1.8498280e+3, 5.9881661e-2
9, 1.8396730e+3, 1.8396730e+3, 1.8396730e+3, 5.9884347e-2
10, 1.8301010e+3, 1.8301010e+3, 1.8301010e+3, 5.9869908e-2
11, 1.8205121e+3, 1.8205121e+3, 1.8205121e+3, 5.9843972e-2
12, 1.8099747e+3, 1.8099747e+3, 1.8099747e+3, 5.9781257e-2
13, 1.7972391e+3, 1.7972391e+3, 1.7972391e+3, 5.9734412e-2
14, 1.7867770e+3, 1.7867770e+3, 1.7867770e+3, 5.9755564e-2
15, 1.7778895e+3, 1.7778895e+3, 1.7778895e+3, 5.9777196e-2
16, 1.7691238e+3, 1.7691238e+3, 1.7691238e+3, 5.9750084e-2
17, 1.7578226e+3, 1.7578226e+3, 1.7578226e+3, 5.9661340e-2
18, 1.7421455e+3, 1.7421455e+3, 1.7421455e+3, 5.9494216e-2
19, 1.7234325e+3, 1.7234325e+3, 1.7234325e+3, 5.9428886e-2
20, 1.7055237e+3, 1.7055237e+3, 1.7055237e+3, 5.9540328e-2
21, 1.6877574e+3, 1.6877574e+3, 1.6877574e+3, 5.9874594e-2
22, 1.6756494e+3, 1.6756494e+3, 1.6756494e+3, 5.9749112e-2
23, 1.6619515e+3, 1.6619515e+3, 1.6619515e+3, 5.9589386e-2
24, 1.6443826e+3, 1.6443826e+3, 1.6443826e+3, 5.9451260e-2
25, 1.6276844e+3, 1.6276844e+3, 1.6276844e+3, 5.9406467e-2
26, 1.6115231e+3, 1.6115231e+3, 1.6115231e+3, 5.9392665e-2
27, 1.5966129e+3, 1.5966129e+3, 1.5966129e+3, 5.9408586e-2
28, 1.5839790e+3, 1.5839790e+3, 1.5839790e+3, 5.9589792e-2
29, 1.5736600e+3, 1.5736600e+3, 1.5736600e+3, 5.9606537e-2
30, 1.5632972e+3, 1.5632972e+3, 1.5632972e+3, 5.9688337e-2
31, 1.5541625e+3, 1.5541625e+3, 1.5541625e+3, 5.9662979e-2
32, 1.5452797e+3, 1.5452797e+3, 1.5452797e+3, 5.9706789e-2
33, 1.5369797e+3, 1.5369797e+3, 1.5369797e+3, 5.9751075e-2
34, 1.5287406e+3, 1.5287406e+3, 1.5287406e+3, 5.9702374e-2
35, 1.5190819e+3, 1.5190819e+3, 1.5190819e+3, 5.9658498e-2
36, 1.5118308e+3, 1.5118308e+3, 1.5118308e+3, 5.9666868e-2
37, 1.5047628e+3, 1.5047628e+3, 1.5047628e+3, 5.9619147e-2
38, 1.4968328e+3, 1.4968328e+3, 1.4968328e+3, 5.9594966e-2
39, 1.4897573e+3, 1.4897573e+3, 1.4897573e+3, 5.9610836e-2
40, 1.4834648e+3, 1.4834648e+3, 1.4834648e+3, 5.9652764e-2
41, 1.4779590e+3, 1.4779590e+3, 1.4779590e+3, 5.9701502e-2
42, 1.4731958e+3, 1.4731958e+3, 1.4731958e+3, 5.9725035e-2
43, 1.4688359e+3, 1.4688359e+3, 1.4688359e+3, 5.9776589e-2
44, 1.4652621e+3, 1.4652621e+3, 1.4652621e+3, 5.9814349e-2
45, 1.4621946e+3, 1.4621946e+3, 1.4621946e+3, 5.9813764e-2
46, 1.4590447e+3, 1.4590447e+3, 1.4590447e+3, 5.9895050e-2
47, 1.4568420e+3, 1.4568420e+3, 1.4568420e+3, 5.9882205e-2
48, 1.4544281e+3, 1.4544281e+3, 1.4544281e+3, 5.9901226e-2
49, 1.4524678e+3, 1.4524678e+3, 1.4524678e+3, 5.9913374e-2
50, 1.4506959e+3, 1.4506959e+3, 1.4506959e+3, 5.9863459e-2
51, 1.4484631e+3, 1.4484631e+3, 1.4484631e+3, 5.9894357e-2
52, 1.4467117e+3, 1.4467117e+3, 1.4467117e+3, 5.9867229e-2
53, 1.4447034e+3, 1.4447034e+3, 1.4447034e+3, 5.9935812e-2
54, 1.4435970e+3, 1.4435970e+3, 1.4435970e+3, 5.9935171e-2
