ITERATION, MIN_SE, OBJ_FUNC_DRESP:DRESP_STRAIN_ENERGY, OBJ_FUNC_TERM:DRESP_STRAIN_ENERGY, VOL_CONSTRAINT:LE:DRESP_VOLUME
Norm-Values:, 7.6466737, 7.6466737, 7.6466737, 5.0000000e-1
0, 7.6466737, 7.6466737, 7.6466737, 5.0000721e-1
1, 7.0244017, 7.0244017, 7.0244017, 4.8997645e-1
2, 6.3919420, 6.3919420, 6.3919420, 4.9384167e-1
3, 5.8956819, 5.8956819, 5.8956819, 4.9520941e-1
4, 5.4835777, 5.4835777, 5.4835777, 4.9619453e-1
5, 5.2065740, 5.2065740, 5.2065740, 4.9758632e-1
6, 5.0310678, 5.0310678, 5.0310678, 4.9835725e-1
7, 4.9024301, 4.9024301, 4.9024301, 4.9857522e-1
8, 4.7585797, 4.7585797, 4.7585797, 4.9830142e-1
9, 4.5816197, 4.5816197, 4.5816197, 4.9771758e-1
10, 4.4500341, 4.4500341, 4.4500341, 4.9823073e-1
11, 4.3528790, 4.3528790, 4.3528790, 4.9812763e-1
12, 4.2376151, 4.2376151, 4.2376151, 4.9738137e-1
13, 4.0788050, 4.0788050, 4.0788050, 4.9633721e-1
14, 3.9197977, 3.9197977, 3.9197977, 4.9586838e-1
15, 3.7563260, 3.7563260, 3.7563260, 4.9594841e-1
16, 3.6280763, 3.6280763, 3.6280763, 4.9563692e-1
17, 3.5263848, 3.5263848, 3.5263848, 4.9504311e-1
18, 3.4072928, 3.4072928, 3.4072928, 4.9428350e-1
19, 3.2783680, 3.2783680, 3.2783680, 4.9333843e-1
20, 3.1610813, 3.1610813, 3.1610813, 4.9275769e-1
21, 3.0891106, 3.0891106, 3.0891106, 4.9339553e-1
22, 3.0261488, 3.0261488, 3.0261488, 4.9357575e-1
23, 2.9908049, 2.9908049, 2.9908049, 4.9314563e-1
24, 2.9420004, 2.9420004, 2.9420004, 4.9398304e-1
25, 2.9248807, 2.9248807, 2.9248807, 4.9288770e-1
26, 2.8872671, 2.8872671, 2.8872671, 4.9439638e-1
27, 2.8620343, 2.8620343, 2.8620343, 4.9488882e-1
28, 2.8308094, 2.8308094, 2.8308094, 4.9576252e-1
29, 2.8087993, 2.8087993, 2.8087993, 4.9674431e-1
30, 2.7892358, 2.7892358, 2.7892358, 4.9717835e-1
31, 2.7771742, 2.7771742, 2.7771742, 4.9739820e-1
32, 2.7636058, 2.7636058, 2.7636058, 4.9795166e-1
33, 2.7548840, 2.7548840, 2.7548840, 4.9829044e-1
34, 2.7480204, 2.7480204, 2.7480204, 4.9864774e-1
35, 2.7414954, 2.7414954, 2.7414954, 4.9870159e-1
36, 2.7383673, 2.7383673, 2.7383673, 4.9857130e-1
37, 2.7304640, 2.7304640, 2.7304640, 4.9885434e-1
38, 2.7284167, 2.7284167, 2.7284167, 4.9881500e-1
39, 2.7213876, 2.7213876, 2.7213876, 4.9896388e-1
40, 2.7151487, 2.7151487, 2.7151487, 4.9900384e-1
41, 2.7091992, 2.7091992, 2.7091992, 4.9900902e-1
42, 2.7114389, 2.7114389, 2.7114389, 4.9873077e-1
43, 2.7073710, 2.7073710, 2.7073710, 4.9884960e-1
44, 2.7055809, 2.7055809, 2.7055809, 4.9901091e-1
45, 2.7026694, 2.7026694, 2.7026694, 4.9905639e-1
46, 2.7006063, 2.7006063, 2.7006063, 4.9908208e-1
47, 2.6955109, 2.6955109, 2.6955109, 4.9937475e-1
48, 2.6953368, 2.6953368, 2.6953368, 4.9932390e-1
49, 2.6934893, 2.6934893, 2.6934893, 4.9942594e-1
50, 2.6932709, 2.6932709, 2.6932709, 4.9945105e-1
51, 2.6926556, 2.6926556, 2.6926556, 4.9948177e-1
52, 2.6890368, 2.6890368, 2.6890368, 4.9950906e-1
53, 2.6877508, 2.6877508, 2.6877508, 4.9960984e-1
