ITERATION, [OBJ_FUNC]MIN_SE, [OBJ]OBJ_FUNC_DRESP:DRESP_STRAIN_ENERGY, [OBJ]OBJ_FUNC_TERM:DRESP_STRAIN_ENERGY, [CON]VOL_CONSTRAINT:LE:DRESP_VOLUME, [VAR]DRESP_STRAIN_ENERGY, [VAR]DRESP_VOLUME, [VAR]AV_CONV_ALL_ELEMENTS, [VAR]AV_CHG_OBJF_ALL_ELEMENTS, [VAR]AV_CHG_DV_ALL_ELEMENTS, [VAR]AV_CONV_TRUE_ALL_ELEMENTS
Norm-Values:, 7.6466737, 7.6466737, 7.6466737, 5.0000000e-1, 7.6466737, 2.5230000e+3, 0.0000000, 1.0000000e-3, 4.9999999e-3, 9.9000001e-1
0, 7.6466737, 7.6466737, 7.6466737, 5.0000721e-1, 7.6466737, 1.2615182e+3, 0.0000000, 0.0000000, 0.0000000, 9.9000001e-1
1, 7.0244017, 7.0244017, 7.0244017, 4.8997645e-1, 7.0244017, 1.2362106e+3, 0.0000000, 8.8587195e-2, 3.9498426e-2, 9.9000001e-1
2, 6.3919420, 6.3919420, 6.3919420, 4.9384167e-1, 6.3919420, 1.2459625e+3, 0.0000000, 9.8946400e-2, 2.3357591e-2, 9.9000001e-1
3, 5.8956819, 5.8956819, 5.8956819, 4.9520941e-1, 5.8956819, 1.2494133e+3, 0.0000000, 8.4173501e-2, 2.2063440e-2, 9.9000001e-1
4, 5.4835777, 5.4835777, 5.4835777, 4.9619453e-1, 5.4835777, 1.2518988e+3, 0.0000000, 7.5152420e-2, 2.0405216e-2, 9.9000001e-1
5, 5.2065740, 5.2065740, 5.2065740, 4.9758632e-1, 5.2065740, 1.2554103e+3, 0.0000000, 5.3202696e-2, 1.7133113e-2, 9.9000001e-1
6, 5.0310678, 5.0310678, 5.0310678, 4.9835725e-1, 5.0310678, 1.2573553e+3, 0.0000000, 3.4884468e-2, 1.5464091e-2, 9.9000001e-1
7, 4.9024301, 4.9024301, 4.9024301, 4.9857522e-1, 4.9024301, 1.2579053e+3, 0.0000000, 2.6239598e-2, 1.5984386e-2, 9.9000001e-1
8, 4.7585797, 4.7585797, 4.7585797, 4.9830142e-1, 4.7585797, 1.2572145e+3, 0.0000000, 3.0229677e-2, 1.9411299e-2, 9.9000001e-1
9, 4.5816197, 4.5816197, 4.5816197, 4.9771758e-1, 4.5816197, 1.2557415e+3, 0.0000000, 3.8623892e-2, 2.3871560e-2, 9.9000001e-1
10, 4.4500341, 4.4500341, 4.4500341, 4.9823073e-1, 4.4500341, 1.2570361e+3, 0.0000000, 2.9569570e-2, 2.1268440e-2, 9.9000001e-1
11, 4.3528790, 4.3528790, 4.3528790, 4.9812763e-1, 4.3528790, 1.2567760e+3, 0.0000000, 2.2319732e-2, 2.1961026e-2, 9.9000001e-1
12, 4.2376151, 4.2376151, 4.2376151, 4.9738137e-1, 4.2376151, 1.2548932e+3, 0.0000000, 2.7200190e-2, 2.7602823e-2, 9.9000001e-1
13, 4.0788050, 4.0788050, 4.0788050, 4.9633721e-1, 4.0788050, 1.2522588e+3, 0.0000000, 3.8935456e-2, 3.4057930e-2, 9.9000001e-1
14, 3.9197977, 3.9197977, 3.9197977, 4.9586838e-1, 3.9197977, 1.2510759e+3, 0.0000000, 4.0565182e-2, 3.5645131e-2, 9.9000001e-1
15, 3.7563260, 3.7563260, 3.7563260, 4.9594841e-1, 3.7563260, 1.2512778e+3, 0.0000000, 4.3519039e-2, 3.5402793e-2, 9.9000001e-1
16, 3.6280763, 3.6280763, 3.6280763, 4.9563692e-1, 3.6280763, 1.2504919e+3, 0.0000000, 3.5349213e-2, 3.6116779e-2, 9.9000001e-1
17, 3.5263848, 3.5263848, 3.5263848, 4.9504311e-1, 3.5263848, 1.2489938e+3, 0.0000000, 2.8837319e-2, 3.7726749e-2, 9.9000001e-1
18, 3.4072928, 3.4072928, 3.4072928, 4.9428350e-1, 3.4072928, 1.2470773e+3, 0.0000000, 3.4952085e-2, 4.1622143e-2, 9.9000001e-1
19, 3.2783680, 3.2783680, 3.2783680, 4.9333843e-1, 3.2783680, 1.2446929e+3, 0.0000000, 3.9325923e-2, 4.5078550e-2, 9.9000001e-1
20, 3.1610813, 3.1610813, 3.1610813, 4.9275769e-1, 3.1610813, 1.2432277e+3, 0.0000000, 3.7103344e-2, 4.5884836e-2, 9.9000001e-1
21, 3.0891106, 3.0891106, 3.0891106, 4.9339553e-1, 3.0891106, 1.2448369e+3, 0.0000000, 2.3298195e-2, 4.0746238e-2, 9.9000001e-1
22, 3.0261488, 3.0261488, 3.0261488, 4.9357575e-1, 3.0261488, 1.2452916e+3, 0.0000000, 2.0805921e-2, 3.7430674e-2, 9.9000001e-1
23, 2.9908049, 2.9908049, 2.9908049, 4.9314563e-1, 2.9908049, 1.2442064e+3, 0.0000000, 1.1817516e-2, 3.5780843e-2, 9.9000001e-1
24, 2.9420004, 2.9420004, 2.9420004, 4.9398304e-1, 2.9420004, 1.2463192e+3, 0.0000000, 1.6588891e-2, 3.3671610e-2, 9.9000001e-1
25, 2.9248807, 2.9248807, 2.9248807, 4.9288770e-1, 2.9248807, 1.2435557e+3, 0.0000000, 5.8531091e-3, 2.9076964e-2, 9.9000001e-1
26, 2.8872671, 2.8872671, 2.8872671, 4.9439638e-1, 2.8872671, 1.2473621e+3, 0.0000000, 1.3027417e-2, 2.5804887e-2, 9.9000001e-1
27, 2.8620343, 2.8620343, 2.8620343, 4.9488882e-1, 2.8620343, 1.2486045e+3, 0.0000000, 8.8163838e-3, 2.2252077e-2, 9.9000001e-1
28, 2.8308094, 2.8308094, 2.8308094, 4.9576252e-1, 2.8308094, 1.2508088e+3, 0.0000000, 1.1030402e-2, 1.9699188e-2, 9.9000001e-1
